id,lat,long,project_type,name,description,location,lga,cwlth_funding,state_funding,other_funding,recovery_type,metadata
1,-35.72851927,137.9429855,Local Economic Recovery Funding,Desalination Plant,"The new desalination plant will improve water security, which has been an ongoing vulnerability for the island.",Penneshaw,Kangaroo Island,9900000,37900000,,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
2,-23.2535463,150.8021047,Local Economic Recovery Funding,Emu Park West Reservoir,Design and construction of a water supply reservoir for the town of Emu Park. The project will create local jobs during construction.,Emu Park,Livingstone Shire Council,1000000,1000000,500000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
3,-17.03790157,145.4962402,Local Economic Recovery Funding,Water Main Construction,"Construction of a new reticulated water supply for Chillagoe, ensuring the continuity of this essential service for residents.",Mareeba,Mareeba Shire Council,845000,845000,725000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
4,-26.39823006,153.0932585,Local Economic Recovery Funding,Recreation Trails Upgrade,Creation of new links within the Pomona section of the Noosa Hinterland fire and walking trail network. The project will support both recreational and tourism use.,Noosa Heads,Noosa Shire Council,805363,805363,70000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
5,-38.42875506,143.9796901,Local Economic Recovery Funding,Community and Cultural Centre Upgrade,"Upgrade of community facilities (including the cinema) at the centre, for use as an evacuation point and community recovery hub.",Boonah (Vic.),Scenic Rim Regional Council,33750,33750,7500,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
6,-27.00125973,152.6632106,Local Economic Recovery Funding,Trail Development and Activation,"Stage one and two includes enhancement of fire trails within the Mount Glen Rock Recreation and Nature Reserve to support recreational and tourism use. The project will support local employment,.",Mount Archer (Somerset - Qld),Somerset Regional Council,317840,317840,645913,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
7,-36.1472077,147.7988826,Local Economic Recovery Funding,Tennis Facility Restoration,"Restoration and expansion of the Cudgewa Tennis Club facility to provide the community with space for recreation, community gatherings and events.",Cudgewa,Towong Shire Council,92500,92500,5000,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
8,-36.05958842,147.9128252,Local Economic Recovery Funding,The Tintaldra Avenue of Honour,"Re-establishment of a tree-lined, commerative avenue in the township of Tintaldra to enhance the tourism experience and expand the local visitor economy.",Tintaldra,Towong Shire Council,59000,59000,10700,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
9,-37.84069666,147.5160632,Local Economic Recovery Funding,Community Resilience and Development Program,"Stage one involves an upgrade of community facilities in 32 towns across East Gippsland, and includes public halls and recreation reserve buildings. Works will include ember proofing, electrical upgrades, satellite communication and WIFI upgrades.",Hillside (East Gippsland - Vic.),East Gippsland Shire Council,521978,521978,36120,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
10,-36.7512718,147.2252813,Local Economic Recovery Funding,Murals Mount Beauty,"Creation of three large murals in Mount Beauty, adding to the collection of artistic features across Alpine Shire. The project will engage the local community, including the Indigenous population.",Mount Beauty,Alpine Shire Council,20000,20000,,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
