"","council","classification","ord_pop_dens","ord_socio","ord_unemploy","ord_activbus","ord_recexpcap","ord_pubspac","bush","score","order_score","tokens_council"
"1","Canterbury-Bankstown",50,119,102,46.5,128,115,128,20,708.5,129,15
"2","Cumberland",50,121,102,128,126,129,23,20,699,128,15
"3","Blacktown",50,116,118,84.5,125,51,127,20,691.5,127,15
"4","Fairfield",50,113,122,114,112,16,119,20,666,126,15
"5","The Hills",40,40.5,102,123,121,104,114,20,664.5,125,15
"6","City of Canada Bay",50,40.5,102,115,101,111,104.5,20,644,124,15
"7","Northern Beaches",50,108,67.5,73,120,126,68.5,20,633,123,15
"8","Liverpool",40,114,71.5,104,123,27,122,20,621.5,122,15
"9","Canada Bay",50,118,67.5,17,116,108,116,20,612.5,121,15
"10","Dubbo Regional",30,81,102,110,78,120,68.5,20,609.5,120,15
"11","Mid-Coast",30,77,102,129,86,113,68.5,0,605.5,119,15
"12","Murrumbidgee",20,9,129,109,79,99,125,20,590,118,15
"13","Waverley",50,115,32.5,106.5,104,41,118,20,587,117,15
"14","Burwood",50,128,38.5,87,100,55,101,20,579.5,116,15
"15","Inner West",50,125,67.5,6,105,128,68.5,20,570,115,15
"16","Central Coast",40,98,102,94.5,122,105,7,0,568.5,114,15
"17","Orange",30,87,54.5,74.5,91,88,120,20,565,113,15
"18","Sydney",50,129,44,67,127,6,117,20,560,112,15
"19","Willoughby",50,122,16.5,92,102,54,102,20,558.5,111,15
"20","Wollongong",30,102,71.5,62.5,109,53,110,20,558,110,15
"21","Camden",40,117,7,98.5,117,40,108,20,547.5,109,15
"22","Newcastle",30,104,50,42,111,62,124,20,543,108,15
"23","Penrith",40,107,41.5,86,115,37,111,0,537.5,107,15
"24","Lane Cove",50,127,5,89.5,87,63,95,20,536.5,106,15
"25","Narrandera",10,60,126.5,121.5,28,98,68.5,20,532.5,105,15
"26","Randwick",50,123,32.5,111,114,50,26,20,526.5,104,15
"27","Georges River",50,40.5,67.5,59,118,97,68.5,20,520.5,103,15
"28","Goulburn Mulwaree",30,80,59,121.5,35,80,112,0,517.5,101.5,15
"29","Woollahra",50,96,16.5,105,97,12,121,20,517.5,101.5,15
"30","Queanbeyan-Palerang Regional",30,84,67.5,84.5,83,95,68.5,0,512.5,100,15
"31","Bellingen",10,36,128,124,45,60,107,0,510,99,15
"32","Campbelltown",40,106,81.5,76.5,108,48,29.5,20,509.5,98,15
"33","Ryde",50,124,16.5,40.5,119,44,95,20,509,97,15
"34","North Sydney",50,120,16.5,106.5,113,13,68.5,20,507.5,96,15
"35","Byron",30,95,102,7,96,68,100,0,498,95,15
"36","Strathfield",50,126,38.5,82.5,107,23,50,20,497,94,15
"37","Carrathool",20,62.5,81.5,108,23,109,68.5,20,492.5,92.5,15
"38","Hills",40,111,67.5,118,124,3,9,20,492.5,92.5,15
"39","Temora",10,58,114.5,113,50,83,43,20,491.5,91,20
"40","Narromine",10,19,118,64.5,43,96,115,20,485.5,90,20
"41","Wagga Wagga",30,79,26.5,116,72,49,109,0,481.5,89,20
"42","Mosman",50,110,7,101,75,46,68.5,20,477.5,88,20
"43","Murray River",10,62.5,102,10.5,80,116,68.5,20,469.5,87,20
"44","Wingecarribee",30,85,26.5,89.5,88,36,106,0,461,86,20
